,time,x,y,z,altitude,inclination
0,863700,6942.655665,0.0,0.0,575.0056566134954,45.0
0,863400,6942.655665,0.0,0.0,575.0057787868536,45.0
0,863100,6942.655665,0.0,0.0,575.0058969351239,45.0
0,862800,6942.655665,0.0,0.0,575.006020042847,45.00000000000001
0,862500,6942.655665,0.0,0.0,575.0061386427387,45.0
0,862200,6942.655665,0.0,0.0,575.0062624327329,45.0
0,861900,6942.655665,0.0,0.0,575.0063856584984,45.0
0,861600,6942.655665,0.0,0.0,575.0065022874569,45.00000000000001
0,861300,6942.655665,0.0,0.0,575.0066288295757,45.00000000000001
0,861000,6942.655665,0.0,0.0,575.0067409428493,45.0
0,860700,6942.655665,0.0,0.0,574.9999580681015,45.00000000000001
0,860400,6942.655665,0.0,0.0,575.0000767905967,45.00000000000001
0,860100,6942.655665,0.0,0.0,575.0001889309988,45.0
0,859800,6942.655665,0.0,0.0,575.0003158364725,45.00000000000001
0,859500,6942.655665,0.0,0.0,575.0004285060104,45.0
0,859200,6942.655665,0.0,0.0,575.0005357911368,45.00000000000001
0,858900,6942.655665,0.0,0.0,575.0006471379957,45.0
0,858600,6942.655665,0.0,0.0,575.0007538415903,45.00000000000001
0,858300,6942.655665,0.0,0.0,575.0008715605272,45.0
0,858000,6942.655665,0.0,0.0,575.0009927284073,45.0
0,857700,6942.655665,0.0,0.0,575.0010979236458,45.00000000000001
0,857400,6942.655665,0.0,0.0,575.0012134723729,45.0
0,857100,6942.655665,0.0,0.0,575.0013190288673,45.0
0,856800,6942.655665,0.0,0.0,575.0014286478499,45.0
0,856500,6942.655665,0.0,0.0,575.0015374038148,45.0
0,856200,6942.655665,0.0,0.0,575.0016589015631,45.00000000000001
0,855900,6942.655665,0.0,0.0,575.0017734501134,45.0
0,855600,6942.655665,0.0,0.0,575.0018881054675,45.00000000000001
0,855300,6942.655665,0.0,0.0,575.0020018892083,45.0
0,855000,6942.655665,0.0,0.0,575.002113593172,45.00000000000001
0,854700,6942.655665,0.0,0.0,575.0022260256483,45.00000000000001
0,854400,6942.655665,0.0,0.0,575.0023507090109,45.00000000000001
0,854100,6942.655665,0.0,0.0,575.002472242636,45.0
0,853800,6942.655665,0.0,0.0,575.0025778139689,45.0
0,853500,6942.655665,0.0,0.0,575.0026864554693,45.0
0,853200,6942.655665,0.0,0.0,575.0027930484239,45.0
0,852900,6942.655665,0.0,0.0,575.0029032793946,45.0
0,852600,6942.655665,0.0,0.0,575.0030202739445,45.00000000000001
0,852300,6942.655665,0.0,0.0,575.0031431876341,45.00000000000001
0,852000,6942.655665,0.0,0.0,575.0032624190017,45.0
0,851700,6942.655665,0.0,0.0,575.0033833122807,45.0
0,851400,6942.655665,0.0,0.0,575.003501647494,45.0
0,851100,6942.655665,0.0,0.0,575.003626977913,45.0
0,850800,6942.655665,0.0,0.0,575.0037432898462,45.0
0,850500,6942.655665,0.0,0.0,575.0038617943192,45.00000000000001
0,850200,6942.655665,0.0,0.0,575.0039769331133,45.0
0,849900,6942.655665,0.0,0.0,575.0040928844301,45.00000000000001
0,849600,6942.655665,0.0,0.0,575.0042132395847,45.00000000000001
0,849300,6942.655665,0.0,0.0,575.0043293348426,45.00000000000001
0,849000,6942.655665,0.0,0.0,575.0044531274925,45.0
0,848700,6942.655665,0.0,0.0,575.0045799534237,45.0
0,848400,6942.655665,0.0,0.0,575.0046956210654,45.00000000000001
0,848100,6942.655665,0.0,0.0,575.004806411901,45.0
0,847800,6942.655665,0.0,0.0,575.0049168717333,45.0
